haskell-async 2.2.3-47
haskell-base16-bytestring 1.0.1.0-53
haskell-base64-bytestring 1.2.0.1-60
haskell-cryptohash-sha256 0.11.102.0-38
haskell-data-default-class 0.1.2.0-22
haskell-echo 0.1.4-2
haskell-ed25519 0.0.5.0-22
haskell-edit-distance 0.2.2.1-100
haskell-hackage-security 0.6.0.1-211
haskell-hashable 1.3.2.0-11
haskell-http 4000.3.16-34
haskell-lukko 0.1.1.3-20
haskell-network 3.1.2.1-58
haskell-network-uri 2.6.4.1-26
haskell-old-locale 1.0.0.7-28
haskell-old-time 1.1.0.3-28
haskell-random 1.2.0-233
haskell-resolv 0.1.2.0-93
haskell-splitmix 0.1.0.3-119
haskell-tar 0.5.1.1-65
haskell-th-compat 0.1.2-19
haskell-utf8-string 1.0.2-43
haskell-x11 1.10-2
haskell-x11-xft 0.3.1-166
haskell-zlib 0.6.2.3-26
